Name,year_of_explotation,"price, tg",rooms,"area, m2",price/area,region,address
ЖК IRIS HOME,2 022,44 460 000,3-комнатная квартира,"117,00",380000,Наурызбайский р-н, мкр Карагайлы NA
КГ Карасу,2 018,25 800 000,3-комнатная квартира,"75,00",344000,Алатауский р-н, мкр Карасу  6-улица 140
ЖК Gorny Residence,2 017,290 000 000,9-комнатная квартира,"620,00",467742,Медеуский р-н, Достык 300/60 NA
ЖК Bella Villa (КГ),2 017,120 000 000,6-комнатная квартира,"356,00",337079,Бостандыкский р-н, Рыскулбекова 19 NA
ЖК BlackBerry Hills,2 021,160 000 000,5-комнатная квартира,"329,00",486322,Медеуский р-н,улица 4-ая 2
ЖК Merey Terrace,2 021,110 000 000,7-комнатная квартира,"220,00",500000,Медеуский р-н, мкр Кольсай  МТФ 19
ЖК Mountain Drive,2 018,100 000 000,4-комнатная квартира,"265,00",377358,Бостандыкский р-н, Мкр. Ерменсай  71/4 71/4
ЖК Алем (КГ),2 006,345 000 000,3-комнатная квартира,"385,00",896104,Медеуский р-н, Достык 341 — Оспанова NA
ЖК Тау Самал (КГ),2 012,85 000 000,5-комнатная квартира,"200,00",425000,Наурызбайский р-н, Ашимова 98 — Ауэзова NA
ЖК ЖанЕл (КГ),2 011,199 000 000,6-комнатная квартира,"366,00",543716,Медеуский р-н, мкр Юбилейный 242 NA
ЖК Эдельвейс (КГ),2 010,300 000 000,7-комнатная квартира,"420,00",714286,Медеуский р-н, мкр Горный Гигант  Эдельвейс — Жамакаева
ЖК Bella Villa (КГ),2 010,222 040 000,7-комнатная квартира,"412,00",538932,Бостандыкский р-н, Рыскулбекова 19 NA
ЖК Эдельвейс (КГ),2 010,297 500 000,7-комнатная квартира,"420,00",708333,Медеуский р-н, мкр Горный Гигант  Жамакаева 256а
ЖК Dostyk Residence,2 016,225 000 000,7-комнатная квартира,"300,00",750000,Медеуский р-н, Митина 4/2 — проспект Достык NA
ЖК Манхеттан (29 квартал),2 011,61 500 000,3-комнатная квартира,"117,00",525641,Алмалинский р-н, Брусиловского 163 NA
ЖК Ботанический Cад,2 004,142 500 000,4-комнатная квартира,"151,00",943709,Бостандыкский р-н, Ходжанова NA
ЖК Bella Villa (КГ),2 010,120 000 000,5-комнатная квартира,"360,00",333333,Бостандыкский р-н,Рыскулбекова 19
ЖК Dostyk Residence,2 016,240 000 000,7-комнатная квартира,"300,00",800000,Медеуский р-н, мкр Самал — Достык NA
ЖК Bella Villa (КГ),2 009,130 000 000,6-комнатная квартира,"240,00",541667,Наурызбайский р-н, Рыскулбекова NA
ЖК Эдельвейс (КГ),2 010,297 500 000,7-комнатная квартира,"420,00",708333,Медеуский р-н, мкр Горный Гигант 14 — Аль фараби NA
ЖК Dostyk Residence,2 016,225 000 000,7-комнатная квартира,"300,00",750000,Медеуский р-н, Митина 4/2 NA
ЖК ЖанЕл (КГ),2 013,199 000 000,6-комнатная квартира,"370,00",537838,Медеуский р-н, мкр Юбилейный NA
ЖК ЖанЕл (КГ),2 013,194 000 000,7-комнатная квартира,"366,00",530055,Медеуский р-н, мкр Юбилейный  Ондасынова 35
ЖК Bella Villa (КГ),2 010,120 000 000,6-комнатная квартира,"356,00",337079,Наурызбайский р-н, Рыскулбекова 19 NA
ЖК Эдельвейс (КГ),2 010,297 000 000,7-комнатная квартира,"420,00",707143,Медеуский р-н, мкр Горный Гигант  Жамакаева 256а
ЖК Тау Самал (КГ),2 011,115 000 000,4-комнатная квартира,"183,00",628415,Наурызбайский р-н, мкр Таусамалы  6-я линия 217
ЖК Bella Villa (КГ),2 009,170 000 000,6-комнатная квартира,"360,00",472222,Наурызбайский р-н, Рыскулбекова 19 NA
ЖК Gorny Residence,2 017,301 000 000,7-комнатная квартира,"460,00",654348,Медеуский р-н, Достык 300/60 NA
ЖК Gorny Residence,2 017,510 000 000,5-комнатная квартира,"460,00",1108696,Медеуский р-н, Достык 300/60 NA
ЖК Ремизовка,2 016,245 000 000,5-комнатная квартира,"260,00",942308,Бостандыкский р-н, мкр Ремизовка  5-й переулок 16/1
ЖК Gorny Residence,2 017,475 000 000,6-комнатная квартира,"450,00",1055556,Медеуский р-н, Достык 300/60 — ул. Курмет NA
ЖК Esentai City,2 018,108 000 000,3-комнатная квартира,"123,00",878049,Медеуский р-н, Аль- Фараби NA
ЖК Сантаун (КГ),2 008,335 000 000,6-комнатная квартира,"328,00",1021341,Бостандыкский р-н, мкр Баганашыл  Восточная 31
ЖК Esentai City,2 022,130 000 000,4-комнатная квартира,"145,00",896552,Медеуский р-н, Аль- Фараби NA
,1 979,31 000 000,1-комнатная квартира,"40,00",775000,Медеуский р-н, проспект Достык 107 NA
,2 017,52 600 000,3-комнатная квартира,"109,00",482569,Бостандыкский р-н, Аскарова — Кенесары хана NA
ЖК Esentai City,2 018,217 000 000,3-комнатная квартира,"115,00",1886957,Медеуский р-н, Аль- Фараби 116 — Жамакаева NA
ЖК Esentai City,2 018,217 000 000,4-комнатная квартира,"120,00",1808333,Медеуский р-н, Аль- Фараби 116 — Жамакаева NA
ЖК Mountain Resort,2 020,117 500 000,8-комнатная квартира,"205,00",573171,Бостандыкский р-н, мкр Ремизовка NA
ЖК Mountain Resort,2 019,117 000 000,4-комнатная квартира,"210,00",557143,Бостандыкский р-н, 12-я улица 59 NA
ЖК Esentai City,2 018,108 000 000,3-комнатная квартира,"123,00",878049,Медеуский р-н, проспект Аль-Фараби NA
КГ Карасу,2 012,30 000 000,3-комнатная квартира,"76,00",394737,Алатауский р-н, мкр Карасу 1/9 NA
ЖК Esentai River Townhouse,2 018,384 000 000,9-комнатная квартира,"384,00",1000000,Медеуский р-н, Аль-Фараби — Жамакаева NA
,2 006,208 000 000,4-комнатная квартира,"408,00",509804,Медеуский р-н, Иванилова NA
ЖК Hill Town Almaty,2 017,155 000 000,6-комнатная квартира,"230,00",673913,Бостандыкский р-н, Таужиеги NA
ЖК Alma City,2 022,15 000 000,1-комнатная квартира,"43,00",348837,Наурызбайский р-н, мкр Шугыла 342 — Жунисова NA
ЖК Горная Долина,2 008,199 000 000,5-комнатная квартира,"260,00",765385,Медеуский р-н, Тышканбаева 25а — Оспанова NA
ЖК Miras Hills,2 021,44 350 000,3-комнатная квартира,"88,00",503977,Бостандыкский р-н,мкр Мирас Нажимеденова 78
,2 017,23 000 000,5-комнатная квартира,"120,00",191667,Жетысуский р-н, мкр Кокжиек 1 NA
ЖК Gulder,2 021,18 800 000,1-комнатная квартира,"38,00",494737,Наурызбайский р-н, мкр Калкаман-2  Абишева
ЖК Esentai City,2 021,108 900 000,3-комнатная квартира,"121,00",900000,Медеуский р-н, Аль-фараби 128/4 NA
ЖК Bella Villa (КГ),2 010,150 000 000,6-комнатная квартира,"400,00",375000,Наурызбайский р-н, мкр Каргалы  Рауана 19 — Жандосова
,2 017,82 000 000,6-комнатная квартира,"350,00",234286,Наурызбайский р-н,Сеитбекова 56
ЖК Bella Villa (КГ),2 010,222 000 000,7-комнатная квартира,"400,00",555000,Наурызбайский р-н, Рыскулбекова 19 NA
